tweet,airlines,airlines_predicted
"American Air can lie to you about where your lost bag is, but we are suppose to trust them with our lives thousands of feet in the air...",['American Airlines'],['American Airlines']
"AmericanAir @naomi_cooper Are you out of your mind, AA? What is the point of this Twitter acct? Form letters in 140 characters or less?",['American Airlines'],['American Airlines']
United Air ticket counter Masters out of SMF not very helpful.,['United Airlines'],['United Airlines']
"JetBlue Airways hey JetBlue.  Still waiting to hear where you lost my 9'8"" surfboard between JFK and BQN airports.",['JetBlue Airways'],['JetBlue Airways']
"@USAirways take a look at 1715. All F seats filled, so someone upgraded their friend instead of following rules.",['US Airways'],['US Airways']
AmericanAir I tried to book a rwrd and was told I couldnt. Bought tix on USAir (now AA-no choice) didn't bother to + AAdv# with this svc...,['American Airlines'],"['US Airways', 'American Airlines']"
@AmericanAir Can care less if youre without your bags for a day or a week! Ive been 3 stories in the last 3 hours...I WANT MY BAG!,['American Airlines'],['American Airlines']
United the least you could do is offer me a ticket in coach instead of just Cancelled Flighting my reservation because of your glitch!!! #notfair,['United Airlines'],['United Airlines']
@united this is despicable I spoke to  many diff people &amp; everyone is telling me something different I have a claim no. I need my bag now,['United Airlines'],['United Airlines']
"American Airlines It's our honeymoon,I paid extra business. I was sitting next to my bride, you bumped me because of status. Disgusted",['American Airlines'],['American Airlines']
Southwest Air Twitter says I can't DM someone unless they follow me.  Can Southwest Air follows my twitter? thanks you.,['Southwest Airlines'],['Southwest Airlines']
JetBlue the TV. Wifi was spotty. It's just a nice feature for a X country flight. Still won't keep us away #lovejetblue,['JetBlue Airways'],['JetBlue']
United Air where is our luggage,['United Airlines'],['United Airlines']
United anyone awake? Paying for wifi on iPhone when need to be using it on laptop. Logout option for wifi in flight? Time is wasting!,['United Airlines'],['United Airlines']
"@united broken light, 35 mins to get bridge to gate, airplane parked wrong , bathroom not emptied last night....your airline in last 3 hrs",['United Airlines'],['United Airlines']
AmericanAir After 3 days NO BAGs amazing the way that you neglect customers,['American Airlines'],['American Airlines']
"JetBlue pls find my bag, I need 2 get home! Very frustrating. Hope my bag is somewhere in @NY_NJairports. Leaving the #jfk w/o my luggage.",['JetBlue Airways'],['JetBlue']
United why the hell do my miles expire? Was really looking forward to accruing enough for a free flight in 10 years.,['United Airlines'],['United Airlines']
United I have sent a message with a bag tag. Have you looked?,['United Airlines'],['United Airlines']
American Airlines hey! I have a name issue on my reservation can you help?,['American Airlines'],['American Airlines']
United Air it's 430am and wife still doesn't have her luggage which was promised by 8pm and said to be on its way File number: DCA48810M #Fail,['United Airlines'],['United Airlines']
"US Air HELP! It says ""the payment is denied"" but my money has been taken out of my bank?    And it says I have no trips coming up??",['US Airways'],['US Airways']
@USAirways @PHLAirport how can a plane scheduled to come in on time and actually happen. Then you bozos don't have any room us. #incompetent,['US Airways'],['US Airways']
Southwest Air boarded plane only to be told to get off as it wasn't our plane. Now an hour delay. 😭😭,['Southwest Airlines'],['Southwest Airlines']
United Not encouraged that I'll have my CPAP tonight.,['United Airlines'],['United Airlines']
USAirways I've been on hold for over an hour only b/c my CC miles aren't showing up. What a mediocre combo of cc &amp; airline #SwitchingBoth,['US Airways'],['US Airways']
JetBlue Airways flying to Denver March 1st and my flight itenary keeps getting changed what the heck...booked the trip 3 months ago,['JetBlue Airways'],['JetBlue Airways']
"United ..back for the expensive holiday, he worked all year to pay for, that you RUINED! We want compensation &amp; his original case back!",['United Airlines'],['United Airlines']
@SouthwestAir We have been waiting for almost 3 hours trying to rebook flights. PLEASE help us get through to someone.,['Southwest Airlines'],['Southwest Airlines']
@AmericanAir leave our luggage in the baggage claim without any previous information! That's not the deal!! http://t.co/oTTy5rYMzD,['American Airlines'],['American Airlines']
American Air How can I get a flight change while in the air? Delays causing a missed connection again. There is 1 seat for Late Flightr,['American Airlines'],['American Airlines']
"@AmericanAir delivered mom's delayed bag to the wrong place. 2 hrs on hold yesterday, &gt;1 hr today. Still no bag. #AA http://t.co/QKkJdFObOS",['American Airlines'],['American Airlines']
Southwest Air what about for us that cant get to the states they are playing for the hunt? Any DestinationDragons tickets left?Even just one,['Southwest Airlines'],['Southwest Airlines']
@AmericanAir fortunately the window seat was a no-show. Able to scoot over and create space.,['American Airlines'],['American Airlines']
United Air So what does someone with severe anxiety do when the one person who can help him isn't next to him?,['United Airlines'],['United Airlines']
JetBlue Airways can't change it. True blue points and I can't get to a phone,['JetBlue Airways'],['JetBlue Airways']
United Airlines of course. But interesting how United doesn't seem to have a good sense on what's happening with flight,['United Airlines'],['United Airlines']
USAirways You will be hearing a lot more from me instead of your feedback when I get back home.,['US Airways'],['US Airways']
@united fyi the site/app still shows plenty of the unavailable flights I had errors with. Almost 24 hrs after sellout. Flying @AmericanAir,"['United Airlines', 'American Airlines']","['American Airlines', 'United Airlines']"
@AmericanAir Flight Cancelled Flighted and rebooked but agent made a mistake and booked wrong date! Been trying to get through via phone for hours!!,['American Airlines'],['American Airlines']
@USAirways 2day: no coffee &amp; 1 working toilet.  Then I read domestic airlines whining re: foreign competition.  Coincidence?  No  #openskies,['US Airways'],['US Airways']
US Airways you have the ability to switch my flight to American Air but you cannot tell me where my bags are.,"['American Airlines', 'US Airways']","['US Airways', 'American Airlines']"
US Air I called the BTV desk; they had more information - so it exists.  Your systems don't make it easy for the customer to access it.,['US Airways'],['US Airways']
"@USAirways Wow! Your miles program is Ripoff,Quick ticket fee 75$ I hope you all end up on unemployment.",['US Airways'],['US Airways']
United Airlines what is going on with baggage claim in Newark!#tiredandwanttogohome,['United Airlines'],['United Airlines']
@USAirways Huge system problems at DCA.Manual check in; flight boarded but sitting at gate due to system issues. Frustrated Chairman member,['US Airways'],['US Airways']
United just flew to #TelAviv paid $100 from a third suitcase which didn't even make it on the plane! Besides for the impolite service...,['United Airlines'],['United Airlines']
"@AmericanAir and how is this not a mechanical issue? All evidence points to the idea that it’s the ILS at CLL at fault, not the weather.",['American Airlines'],['American Airlines']
United that is not in line with your responses here. And now I'm waiting until tomorrow morning because all the flights are overbooked.,['United Airlines'],['United Airlines']
"United if you're listening, why are you the lowest provider of inflight wifi? Get with the times!",['United Airlines'],['United Airlines']
@AmericanAir just wow Regina just told me I can't file or request a lost bag statement until I finish my travel.  So until I get to DC argg,['American Airlines'],['American Airlines']
"Southwest Air MY BAGS ARE. 1st woman said it would be there on the next flight... not there, so now Ive got nothing. Big wigs help me out",['Southwest Airlines'],['Southwest Airlines']
.US Airways I guess from now on I should take my chances &amp; keep the $50 for the courtesy free because it seems cabin is always full.,['US Airways'],['US Airways']
"United: I don't care that a @thehipmunk link showed me a ""wrong"" price on your site—it's your site &amp; responsibility to ensure correctness.",['United Airlines'],['United Airlines']
United Airlines I bought a ticket yesterday and received a confirmation. Tried to check in and they said I hadn't paid for it. So I called was on,['United Airlines'],['United Airlines']
@USAirways thanks for a subpar travel experience and it's not even over yet #stepitup,['US Airways'],['US Airways']
@USAirways waiting for bags now over 25min in Phl bag claim!,['US Airways'],['US Airways']
United 8h flight without a working screen for me and my friend and not possible to move to another place #unitedfails#worsttripofmylife,['United Airlines'],['United Airlines']
USAirways I’ll do that in addition to reviewing on my blog. Your agents were pleasant but the experience was less than :/,['US Airways'],['US Airways']
United an over booked flight to start with and a red eye from lax to bos with no reclining seat.... #lastflightwithyouever,['United Airlines'],['United Airlines']
@united is the worst. Nonrefundable First class tickets? Oh because when you select Global/FC their system auto selects economy w/upgrade.,['United Airlines'],['United Airlines']
SouthwestAir baggage claim has already changed 2x...most recent had 3 bags come out and then stop...claim team has no idea what's going on,['Southwest Airlines'],['Southwest Airlines']
"United Airlines Flight is awful only one lavatory functioning, and people lining up, bumping, etc. because can't use 1st class bathroom. Ridiculous",['United Airlines'],['United Airlines']
American Air 1hr 46 min. Cost of flight change $788. Was $188 2hrs ago b/f drop call. Cancelled Flighted flight. Asked 4 refund.,['American Airlines'],['American Airlines']
"@AmericanAir bag turned up, no thanks to your useless call-centre and useless website",['American Airlines'],['American Airlines']
"United Air wasn't trying to Cancelled Flight, just trying to change my award ticket, same date and place, but thanks for sending the link, I know the fee",['United Airlines'],['United Airlines']
@united 45 minutes after arrival and no bags for most people. UA469 from den to ewr. How long should we wait until a ual rep comes here?,['United Airlines'],['United Airlines']
United I'm not booked on a 1:30 return flight..,['United Airlines'],['United Airlines']
"American Air need assistance. very frustrated I can't reach reservations by phone. trying to book online &amp; get ""fare no longer avail"" msg",['American Airlines'],['American Airlines']
@Jetblue  I will keep on tweeting until your CEO answers and personally apologizes to my wife and the passengers of flight 136. Just Wrong!!,[],['JetBlue']
"USAirways Wife and I flew to Italy recently. Bought tickets via Finnair, flights operated by USAir. Didn't get dividend miles credited.",['US Airways'],"['US Airways', 'Finnair']"
"United Air It wasn't full, I had plenty of time to go to the gate and check, plus with my status I should have gotten on!?!",['United Airlines'],['United Airlines']
United Air thanks United I understand that. But he would actually like his own bag back! What have you done with it?! He also wants the money..,['United Airlines'],['United Airlines']
"United I tried the online tracking and they said something like ""attempting to locate luggage""",['United Airlines'],['United Airlines']
@united yes I have,['United Airlines'],['United Airlines']
"@SouthwestAir well, it was fun while it lasted. Not happy about the change to redeeming reward points. Won't be loyal anymore.",['Southwest Airlines'],['Southwest Airlines']
